date,sentiment,sentiment_dict
1996-10-30,0.02888120710849762,"{'positive': 0.1624157875776291, 'negative': 0.13353458046913147, 'neutral': 0.7040496468544006}"
1996-12-04,-0.5883978083729744,"{'positive': 0.07799529284238815, 'negative': 0.6663931012153625, 'neutral': 0.2556116282939911}"
1997-01-22,0.12366322427988052,"{'positive': 0.17666494846343994, 'negative': 0.05300172418355942, 'neutral': 0.7703333497047424}"
1997-03-12,-0.7284629829227924,"{'positive': 0.02856595441699028, 'negative': 0.7570289373397827, 'neutral': 0.2144051194190979}"
1997-05-07,-0.035629674792289734,"{'positive': 0.16252721846103668, 'negative': 0.19815689325332642, 'neutral': 0.6393158435821533}"
1997-06-18,-0.4426548555493355,"{'positive': 0.07242070883512497, 'negative': 0.5150755643844604, 'neutral': 0.41250374913215637}"
1997-08-06,-0.1640978455543518,"{'positive': 0.16622978448867798, 'negative': 0.3303276300430298, 'neutral': 0.5034425258636475}"
1997-09-17,-0.03736665099859238,"{'positive': 0.10658543556928635, 'negative': 0.14395208656787872, 'neutral': 0.7494624257087708}"
1997-10-29,0.12366322427988052,"{'positive': 0.17666494846343994, 'negative': 0.05300172418355942, 'neutral': 0.7703333497047424}"
1997-12-03,-0.3234657943248749,"{'positive': 0.09191548824310303, 'negative': 0.4153812825679779, 'neutral': 0.49270325899124146}"
1998-01-21,-0.3215555027127266,"{'positive': 0.1152997836470604, 'negative': 0.436855286359787, 'neutral': 0.4478450119495392}"
1998-03-18,-0.02632509171962738,"{'positive': 0.14711374044418335, 'negative': 0.17343883216381073, 'neutral': 0.6794474720954895}"
1998-05-06,0.03296273946762085,"{'positive': 0.30454903841018677, 'negative': 0.2715862989425659, 'neutral': 0.4238646626472473}"
1998-06-17,0.08975283801555634,"{'positive': 0.15475662052631378, 'negative': 0.06500378251075745, 'neutral': 0.7802395820617676}"
1998-08-05,0.06471389532089233,"{'positive': 0.1910056322813034, 'negative': 0.12629173696041107, 'neutral': 0.6827026605606079}"
1998-09-16,-0.30674073100090027,"{'positive': 0.117715984582901, 'negative': 0.42445671558380127, 'neutral': 0.4578273296356201}"
1998-11-04,-0.022476881742477417,"{'positive': 0.12981553375720978, 'negative': 0.1522924154996872, 'neutral': 0.7178921103477478}"
1998-12-09,-0.35229914635419846,"{'positive': 0.09866345673799515, 'negative': 0.4509626030921936, 'neutral': 0.45037388801574707}"
1999-01-20,-0.09418930113315582,"{'positive': 0.07621769607067108, 'negative': 0.1704069972038269, 'neutral': 0.7533752918243408}"
1999-03-17,0.11450280249118805,"{'positive': 0.2964669167995453, 'negative': 0.18196411430835724, 'neutral': 0.521569013595581}"
1999-05-05,-0.007528260350227356,"{'positive': 0.19071190059185028, 'negative': 0.19824016094207764, 'neutral': 0.6110479235649109}"
1999-06-16,0.05199892073869705,"{'positive': 0.1452351063489914, 'negative': 0.09323618561029434, 'neutral': 0.7615287899971008}"
1999-08-11,-0.06833487749099731,"{'positive': 0.09946353733539581, 'negative': 0.16779841482639313, 'neutral': 0.7327380776405334}"
1999-09-22,-0.08577246963977814,"{'positive': 0.1314575970172882, 'negative': 0.21723006665706635, 'neutral': 0.6513124108314514}"
1999-11-03,-0.4308851510286331,"{'positive': 0.05771125853061676, 'negative': 0.4885964095592499, 'neutral': 0.45369237661361694}"
1999-12-08,-0.028100699186325073,"{'positive': 0.14563798904418945, 'negative': 0.17373868823051453, 'neutral': 0.6806233525276184}"
2000-01-19,-0.04485184699296951,"{'positive': 0.11562217026948929, 'negative': 0.1604740172624588, 'neutral': 0.7239038348197937}"
2000-03-08,0.009996548295021057,"{'positive': 0.0961153656244278, 'negative': 0.08611881732940674, 'neutral': 0.8177657723426819}"
2000-05-03,0.09249851852655411,"{'positive': 0.17901264131069183, 'negative': 0.08651412278413773, 'neutral': 0.7344732284545898}"
2000-06-14,-0.21936900913715363,"{'positive': 0.08509434759616852, 'negative': 0.30446335673332214, 'neutral': 0.6104423403739929}"
2000-08-09,-0.37456293404102325,"{'positive': 0.13055752217769623, 'negative': 0.5051204562187195, 'neutral': 0.3643220365047455}"
2000-09-20,0.08716835081577301,"{'positive': 0.23766905069351196, 'negative': 0.15050069987773895, 'neutral': 0.6118302941322327}"
2000-11-01,0.05332387983798981,"{'positive': 0.19625210762023926, 'negative': 0.14292822778224945, 'neutral': 0.6608195900917053}"
2000-12-06,-0.19623054563999176,"{'positive': 0.0976492315530777, 'negative': 0.29387977719306946, 'neutral': 0.6084709763526917}"
2001-01-17,-0.5826172381639481,"{'positive': 0.06734262406826019, 'negative': 0.6499598622322083, 'neutral': 0.28269752860069275}"
2001-03-07,-0.6890796646475792,"{'positive': 0.07127765566110611, 'negative': 0.7603573203086853, 'neutral': 0.1683649867773056}"
2001-05-02,-0.7850837148725986,"{'positive': 0.03220462426543236, 'negative': 0.817288339138031, 'neutral': 0.15050704777240753}"
2001-06-13,-0.5385054014623165,"{'positive': 0.059032414108514786, 'negative': 0.5975378155708313, 'neutral': 0.3434297740459442}"
2001-08-08,-0.7277378179132938,"{'positive': 0.03741356357932091, 'negative': 0.7651513814926147, 'neutral': 0.19743503630161285}"
2001-09-19,-0.33034610003232956,"{'positive': 0.08467946201562881, 'negative': 0.4150255620479584, 'neutral': 0.5002949833869934}"
2001-10-24,-0.669952031224966,"{'positive': 0.04716039076447487, 'negative': 0.7171124219894409, 'neutral': 0.2357272058725357}"
2001-11-28,-0.6126496866345406,"{'positive': 0.07085984200239182, 'negative': 0.6835095286369324, 'neutral': 0.24563059210777283}"
2002-01-16,-0.7887771539390087,"{'positive': 0.03717680647969246, 'negative': 0.8259539604187012, 'neutral': 0.13686920702457428}"
2002-03-06,-0.7044256627559662,"{'positive': 0.05507972836494446, 'negative': 0.7595053911209106, 'neutral': 0.1854148805141449}"
2002-04-24,-0.21361558139324188,"{'positive': 0.17147128283977509, 'negative': 0.38508686423301697, 'neutral': 0.44344183802604675}"
2002-06-12,-0.11927241086959839,"{'positive': 0.19111964106559753, 'negative': 0.3103920519351959, 'neutral': 0.49848824739456177}"
2002-07-31,-0.360542893409729,"{'positive': 0.1339946687221527, 'negative': 0.4945375621318817, 'neutral': 0.37146779894828796}"
2002-09-11,-0.31820718199014664,"{'positive': 0.10720982402563095, 'negative': 0.4254170060157776, 'neutral': 0.46737316250801086}"
2002-10-23,-0.3917240649461746,"{'positive': 0.10482354462146759, 'negative': 0.4965476095676422, 'neutral': 0.3986288011074066}"
2002-11-27,-0.5206688940525055,"{'positive': 0.05100443959236145, 'negative': 0.5716733336448669, 'neutral': 0.3773222267627716}"
2003-01-15,-0.4593949168920517,"{'positive': 0.091474249958992, 'negative': 0.5508691668510437, 'neutral': 0.3576566278934479}"
2003-03-05,-0.6377105079591274,"{'positive': 0.036115292459726334, 'negative': 0.6738258004188538, 'neutral': 0.2900589406490326}"
2003-04-23,-0.5646593943238258,"{'positive': 0.07880821079015732, 'negative': 0.6434676051139832, 'neutral': 0.2777242064476013}"
2003-06-11,-0.20407231897115707,"{'positive': 0.101942278444767, 'negative': 0.3060145974159241, 'neutral': 0.5920431613922119}"
2003-07-30,0.022379934787750244,"{'positive': 0.20150502026081085, 'negative': 0.1791250854730606, 'neutral': 0.6193698644638062}"
2003-10-15,-0.13638454675674438,"{'positive': 0.13050639629364014, 'negative': 0.2668909430503845, 'neutral': 0.6026027202606201}"
2003-11-26,0.15221401304006577,"{'positive': 0.2663024663925171, 'negative': 0.11408845335245132, 'neutral': 0.6196091175079346}"
2004-01-14,-0.018998563289642334,"{'positive': 0.16384732723236084, 'negative': 0.18284589052200317, 'neutral': 0.653306782245636}"
2004-03-03,-0.014928534626960754,"{'positive': 0.16607584059238434, 'negative': 0.1810043752193451, 'neutral': 0.6529198288917542}"
2004-04-21,0.1114480197429657,"{'positive': 0.19531011581420898, 'negative': 0.08386209607124329, 'neutral': 0.7208277583122253}"
2004-06-16,0.037178121507167816,"{'positive': 0.15096452832221985, 'negative': 0.11378640681505203, 'neutral': 0.7352490425109863}"
2004-07-28,-0.10763821005821228,"{'positive': 0.16593441367149353, 'negative': 0.2735726237297058, 'neutral': 0.560492992401123}"
2004-09-08,0.025635138154029846,"{'positive': 0.2136785238981247, 'negative': 0.18804338574409485, 'neutral': 0.5982781052589417}"
2004-10-27,0.07085946947336197,"{'positive': 0.1746169924736023, 'negative': 0.10375752300024033, 'neutral': 0.7216255068778992}"
2004-12-01,-0.09967581927776337,"{'positive': 0.16199631989002228, 'negative': 0.26167213916778564, 'neutral': 0.5763315558433533}"
2005-01-19,0.19473498314619064,"{'positive': 0.2940591275691986, 'negative': 0.09932414442300797, 'neutral': 0.6066166758537292}"
2005-03-09,0.1764533966779709,"{'positive': 0.30929845571517944, 'negative': 0.13284505903720856, 'neutral': 0.5578564405441284}"
2005-04-20,0.1850801631808281,"{'positive': 0.26843762397766113, 'negative': 0.08335746079683304, 'neutral': 0.6482049226760864}"
2005-06-15,0.16156525909900665,"{'positive': 0.2575716972351074, 'negative': 0.09600643813610077, 'neutral': 0.6464217901229858}"
2005-07-27,0.1886047199368477,"{'positive': 0.30055466294288635, 'negative': 0.11194994300603867, 'neutral': 0.5874954462051392}"
2005-09-07,0.04329589009284973,"{'positive': 0.1795123815536499, 'negative': 0.13621649146080017, 'neutral': 0.6842711567878723}"
2005-10-19,-0.008004605770111084,"{'positive': 0.1958199143409729, 'negative': 0.20382452011108398, 'neutral': 0.6003556251525879}"
2005-11-30,-0.08624152839183807,"{'positive': 0.24206991493701935, 'negative': 0.3283114433288574, 'neutral': 0.42961862683296204}"
2006-01-18,0.07057813555002213,"{'positive': 0.1897491067647934, 'negative': 0.11917097121477127, 'neutral': 0.6910799145698547}"
2006-03-15,0.15127525478601456,"{'positive': 0.21109478175640106, 'negative': 0.059819526970386505, 'neutral': 0.7290857434272766}"
2006-04-26,0.061258964240550995,"{'positive': 0.15708798170089722, 'negative': 0.09582901746034622, 'neutral': 0.7470830082893372}"
2006-06-14,-0.11938696354627609,"{'positive': 0.10630545765161514, 'negative': 0.22569242119789124, 'neutral': 0.6680020689964294}"
2006-07-26,-0.009052492678165436,"{'positive': 0.11774563044309616, 'negative': 0.1267981231212616, 'neutral': 0.755456268787384}"
2006-09-06,-0.44522062689065933,"{'positive': 0.10329236835241318, 'negative': 0.5485129952430725, 'neutral': 0.34819459915161133}"
2006-10-12,0.15057142078876495,"{'positive': 0.3254331052303314, 'negative': 0.17486168444156647, 'neutral': 0.4997052550315857}"
2006-11-29,0.14550121128559113,"{'positive': 0.279060959815979, 'negative': 0.13355974853038788, 'neutral': 0.5873792767524719}"
2007-01-17,0.0425238162279129,"{'positive': 0.1387788951396942, 'negative': 0.09625507891178131, 'neutral': 0.7649660110473633}"
